Questions,Options
My manager cares about me as a person,LIKERT
My manager provides me with the support I need to complete my work,LIKERT
Either my manager or a mentor encourages and supports my development,LIKERT
My job enables me to learn and develop new skills,LIKERT
I see a path for me to advance my career in our organisation,LIKERT
I feel that I’m growing professionally,LIKERT
I understand how my work supports the goals of my team,LIKERT
At work I know what I’m expected to deliver,LIKERT
My co-workers welcome opinions different from their own,LIKERT
My manager cares about my opinions,LIKERT
At work my opinions seem to be valued,LIKERT
I have the materials and equipment I need to do my job well,LIKERT
"When I need a break, my workplace has spaces to chat and relax with others",LIKERT
I can easily find space away from my desk for conversations and collaboration with others,LIKERT
My physical work environment contributes positively to my ability to do my job,LIKERT
I have the option to work remotely when I’d like to,LIKERT
I’m satisfied with the amount of flexibility I have in my work schedule,LIKERT
I’m given enough freedom to decide how to do my work,LIKERT
I have the opportunity to do challenging things at work,LIKERT
Most days I feel a sense of accomplishment from what I do,LIKERT
Do you feel proud to be part of the Company?,YN
Do you look forward to coming to work each morning?,YN
Do you plan to be at this company in the next two years?,YN
Do you feel empowered at work?,YN
Do you feel comfortable contributing ideas and opinions in our workplace?,YN
Do you feel comfortable asking for help if you do not have the skills required to meet your goals?,YN
When you are in any problem relating to work do you trust your managers to listen?,YN
Do you feel like the management team is transparent?,YN
Do you have a good working relationship like with colleagues?,YN
Do you feel comfortable giving feedback to your supervisor?,YN
Do you feel like coworkers give each other respect here?,YN
Do you feel your manager values your opinions?,YN
Do you believe in the approach taken by leaders to take to reach company objectives?,YN
Do you understand the strategic goals of the broader organization?,YN
Does your manager care about you as a person?,YN
Do you feel aligned with the company goals?,YN
Do the people at the executive level contribute to a positive work culture?,YN
Do you feel that the vibe of the workplace is positive and motivating?,YN
Do you have the basic amenities to feel comfortable and relaxed at work?,YN
Does the company provide you with all the tools and materials you need to do your job?,YN
Is your organization dedicated to fostering diversity and inclusion?,YN
Does your organization operate in a socially responsible manner?,YN
Do you think that the company cares about your physical and mental wellbeing?,YN
Do you feel it is important to have a well-defined Corporate wellness program in an organization?,YN
Would you like to have a healthy snacks station in the workplace?,YN
Do you think that the company’s wellness policies and fitness initiatives are enough?,YN
Would you like to be updated on health-related news and participate in wellness events?,YN
Do you receive enough recognition?,YN
Are you recognized fairly for your contribution to team efforts?,YN
Do you feel recognized for your hard work and successes at work?,YN
Are you complimented for your work by leaders and peers on a regular basis?,YN
"Do you receive meaningful rewards on special days like Work Anniversary, Birthdays, professional milestones etc?",YN
Are you satisfied with the current benefits that the company offers excluding your salary?,YN
Do you think you will benefit from an Employee Discount program where you will be eligible for discounts and special pricing on various products?,YN
How often do you avail the benefits given by the company on your purchases?,YN
Do you feel aligned with the company goals?,YN
Do you understand how your role correlates to the company’s success?,YN
Do you think that the Management/leadership show a genuine interest in your career goals?,YN
Do you find your job role interesting and challenging?,YN
Has your supervisor helped you to succeed in your position?,YN
Do you feel like this is a good place for you to develop your career?,YN
Do you get enough time to do your job well?,YN
Do you have fun at work?,YN
Are you often stressed with deadlines and workloads?,YN
Do you often take your work home?,YN
Do you often find yourself working on weekends and holidays?,YN
Do you think you're missing out on significant time with your friends and family?,YN
People with different ideas are valued in this organization,LIKERT
Senior management is genuinely interested in employee opinions and ideas,LIKERT
We work to attract develop and retain people with diverse backgrounds,LIKERT
I am comfortable sharing my opinions at work,LIKERT
I can disagree with my supervisor without fear of getting in trouble,LIKERT
Senior management communicates well with the rest of the organization,LIKERT
My manager does a good job of sharing information,LIKERT
Communication is encouraged in this organization,LIKERT
Information and knowledge are shared openly within this organization,LIKERT
We measure job performance to ensure all staff are achieving results,LIKERT
People are held accountable for achieving goals and meeting expectations,LIKERT
This organization has high performance standards,LIKERT
Senior management is held accountable for achieving results,LIKERT
Poor performance is effectively addressed throughout this organization,LIKERT
My workplace is safe,LIKERT
My workplace is a physically comfortable place to work,LIKERT
My workplace is well maintained,LIKERT
I have all the information I need to do my job effectively,LIKERT
The necessary information systems are in place and accessible for me to get my job done,LIKERT
I have the resources I need to do my job well,LIKERT
My coworkers care about me as a person,LIKERT
Employee job satisfaction is a top priority of senior management,LIKERT
My manager values my talents and the contribution I make,LIKERT
This organization respects its employees,LIKERT
My manager listens to what I'm saying,LIKERT
My manager always treats me with respect,LIKERT
I am satisfied with my benefit package,LIKERT
I understand my benefit plan,LIKERT
My benefits are comparable to those offered by other organizations,LIKERT
My salary is competitive with similar jobs I might find elsewhere,LIKERT
I am paid fairly for the work I do,LIKERT
I am very satisfied with my manager,LIKERT
Our senior managers demonstrate strong leadership skills,LIKERT
The leaders of this organization know what they are doing,LIKERT
I respect my manager as a competent professional,LIKERT
Our senior management leads by example,LIKERT
I respect the senior leaders of this organization,LIKERT
Doing my job well gives me a sense of personal satisfaction,LIKERT
I am familiar with and understand the organization's strategic goals,LIKERT
My supervisor provides me regular information about the mission and the goals of this organization,LIKERT
My job is important in accomplishing the mission of the organization,LIKERT
I have a good understanding of the mission and goals of this organization,LIKERT
I understand how my work directly contributes to the overall success of the organization,LIKERT
Everybody is treated fairly in this organization,LIKERT
I am always treated fairly by my manager,LIKERT
My manager is always consistent when administering policies concerning employees,LIKERT
Favoritism is not an issue in raises or promotions,LIKERT
The organization's policies for promotion and advancement are always fair,LIKERT
My manager treats all his/her employees fairly,LIKERT
We constantly look for ways to improve our products and services,LIKERT
Customer needs are the top priority in this organization,LIKERT
This organization is extremely focused on customer needs,LIKERT
This organization understands its customers' needs,LIKERT
In this organization we maintain very high standards of quality,LIKERT
The quality of our products and services are very important to this organization,LIKERT
People are held accountable for the quality of work they produce,LIKERT
There is a strong feeling of teamwork and cooperation in this organization,LIKERT
Teamwork is encouraged and practiced in this organization,LIKERT
"When I do a good job, I receive the praise and recognition I deserve",LIKERT
My supervisor gives me praise and recognition when I do a good job,LIKERT
Employee performance evaluations are fair and appropriate,LIKERT
I have an opportunity to participate in the goal setting process,LIKERT
I receive feedback that helps me improve my performance,LIKERT
I am given adequate feedback about my performance,LIKERT
I receive useful and constructive feedback from my manager,LIKERT
I have adequate opportunities for professional growth in this organization,LIKERT
I receive the training I need to do my job well,LIKERT
My manager is actively interested in my professional development and advancement,LIKERT
My manager encourages and supports my development,LIKERT
I am encouraged to learn from my mistakes,LIKERT
My work is challenging stimulating and rewarding,LIKERT
The environment in this organization supports a balance between work and personal life,LIKERT
My manager understands the benefits of maintaining a balance between work and personal life,LIKERT
I am able to satisfy both my job and family/personal responsibilities,LIKERT
The pace of the work in this organization enables me to do a good job,LIKERT
The amount of work I am asked to do is reasonable,LIKERT
My job does not cause unreasonable amounts of stress in my life,LIKERT
Do you know what is expected of you at work?,YN
Do you have the materials and equipment to do your work right?,YN
"At work, do you have the opportunity to do what you do best every day?",YN
"In the last seven days, have you received recognition or praise for doing good work?",YN
"Does your supervisor, or someone at work, seem to care about you as a person?",YN
Is there someone at work who encourages your development?,YN
"At work, do your opinions seem to count?",YN
Does the mission/purpose of your company make you feel your job is important?,YN
Are your associates (fellow employees) committed to doing quality work?,YN
Do you have a best friend at work?,YN
In the last six months has someone at work talked to you about your progress?,YN
In the last year have you had opportunities to learn and grow?,YN
I can list concrete steps I need to take in order to move up in my organization within the next year,LIKERT
I can see myself growing and developing my career in this company,LIKERT
There is adequate company support for my skill development,LIKERT
This organization really inspires the very best in me when it comes to job performance,LIKERT
I am excited about the majority of my work projects/customers,LIKERT
I have all the tools I need to consistently do my job well,LIKERT
I find that my values and the organization’s values are similar,LIKERT
I feel like I belong in this company,LIKERT
The organization’s mission consistently inspires me to do my best work,LIKERT
My work style matches the work style of the company,LIKERT
I see a clear tie between the company’s mission and my individual job,LIKERT
I learn a lot from my coworkers,LIKERT
We regularly take time to figure out ways to improve our team’s work processes,LIKERT
My team has clear and prioritized objectives,LIKERT
My supervisor or someone at work seems to care about me,LIKERT
My coworkers have the skills and expertise to do their jobs well,LIKERT
My department is consistently given all the information we need to execute our objectives,LIKERT
I am proud to be an employee at my company,LIKERT
I would refer a friend or a family member to this company,LIKERT
I feel exhausted in the morning at the thought of another day at work,LIKERT
I believe that generally my workload is reasonable for my role,LIKERT
I feel recognized for my hard work and successes at work,LIKERT
When I approach my manager with a problem I trust that they will listen,LIKERT
I know who to talk to if I am having a problem that is not in my manager's domain,LIKERT
I feel that there is at least one person at work who supports and encourages my development,LIKERT
Members of this team are able to bring up problems and tough issues,LIKERT
I am comfortable sharing my opinion at an all-hands meeting,LIKERT
My manager demonstrates an interest in my well-being,LIKERT
My manager sets clear expectations for my performance,LIKERT
I feel comfortable giving feedback to my manager,LIKERT
My manager has the technical expertise required to effectively manage me,LIKERT
I feel comfortable asking for help if I do not have the skills required to meet my goals,LIKERT
My job allows me to utilize my strengths,LIKERT
I trust our senior leaders to lead the company to future success,LIKERT
I believe this organization will be successful in the future,LIKERT
I find my job interesting and challenging,LIKERT
The senior leaders of this organization value people as their most important resource,LIKERT
My opinions seem to count at work,LIKERT
If I contribute to the organization’s success I know I will be recognized,LIKERT
I see professional growth and career development opportunities for myself here,LIKERT
The senior leaders of this organization demonstrate integrity,LIKERT
I have the information I need to do my job well,LIKERT
This job is a good fit for a person like me,LIKERT
The atmosphere here is good,LIKERT
Do you have the tools and resources to do your job well?,YN
Is your work challenging enough?,YN
Do you have a clear understanding of your job profile performance objectives and what you’re supposed to do?,YN
Do the tasks assigned to you help you grow professionally?,YN
Does your supervisor encourage you to improve the way you do things?,YN
Are your performance goals tied to your business unit’s goals?,YN
Do you voluntarily actively and enthusiastically participate in solving problems and looking for better ways of doing things?,YN
Do you receive periodic trainings to grow and be effective in your job?,YN
Does your supervisor treat you and your peers with respect?,YN
Is your compensation package fair and competitive?,YN
Do you feel the management is transparent and communicates effectively?,YN
I am inspired by the purpose and mission of my organization?,YN
The leaders of my organization have communicated a vision that motivates me,LIKERT
Does your work environment allow you to work distraction-free when you need to?,YN
Are you satisfied with the level of comfort in your physical workplace?,YN
I am supported by my organization if I need to make use of flexible working arrangements,LIKERT
Someone would say or do something if I felt distressed at work,LIKERT
Recognition is given in a timely fashion,LIKERT
Is recognition meaningful when you receive it?,YN
My organization encourages employees to give recognition to one another,LIKERT
Are you satisfied with the frequency of feedback coming from your direct manager?,YN
Is the feedback you get specific?,YN
The feedback I receive helps me grow and develop,LIKERT
Do you enjoy the work that you do?,YN
My direct manager cares about my wellbeing,LIKERT
Are your responsibilities clear?,YN
I have a development plan aimed at improving my skills,LIKERT
Is there someone at work who helps you grow and develop?,YN
I am appropriately involved in decisions that affect my work,LIKERT
My direct manager is someone I can trust,LIKERT
I feel like I am part of a team,LIKERT
Do you and your peers collaborate well together?,YN
My peers are committed to doing quality work,LIKERT
"Do you have access to the material resources you need to do your work properly (equipment, supplies etc)?",YN
Do you know what you need to do to meet goals and objectives?,YN
Do you believe your organization is able to reach its objectives?,YN
Do you feel you have enough freedom to decide how you do your work?,YN
Do you find your work engaging?,YN
Are your immediate co-workers committed to the organization's goals?,YN
Would you recommend this organization as a great place to work?,YN
Is your job in alignment with your career goals?,YN
Do you have career growth and development opportunities at this organization?,YN
Do you have the materials and equipment you need to do your job?,YN
Do you have the information you need to do your job?,YN
Do you think your opinions count at work?,YN
When the organization makes changes do you understand why?,YN
Do you feel that changes are made in a way that is consistent with the company’s mission and long-term vision?,YN
Does your job give you the flexibility to meet the needs of your personal life?,YN
When you contribute to the organization's success do you feel recognized?,YN
Do you feel that your immediate manager cares about you as a person?,YN
Do you regularly receive constructive performance feedback from your manager?,YN
Are goals and accountabilities clear to everyone on your team?,YN
Are your teammates or co-workers committed to producing top quality work?,YN
Do the senior leaders of this organization demonstrate integrity?,YN
Do you trust our senior leaders to lead the organization to future success?,YN
Do you understand the company's plans for future success?,YN
Do you know how you fit into the organization's future plans?,YN
Does your manager recognize the importance of your personal and family life?,YN
Do you and your manager discuss your career within this organization?,YN
Does your manager have the expertise and ability to help you and your team succeed?,YN
Are you confident in the overall effectiveness of your immediate manager?,YN
Is your manager responsive to your ideas requests and suggestions?,YN
Does your manager treat everyone on the team fairly?,YN
Does your manager create a trusting and open environment?,YN
Does your manager explain how the organization’s future plans affect you?,YN
Do managers handle disagreements professionally?,YN
Does management explain the reasons behind decisions made?,YN
Does your manager effectively communicate the information you need to understand?,YN
Does management clearly communicate expectations?,YN
Does your manager care about your development?,YN
Do you think your manager cares about you as a person?,YN
Do you understand how your performance is measured?,YN
Do you regularly receive constructive performance feedback from your manager?,YN
Do you feel valued for your contributions?,YN
Do you feel that our company takes adequate action to promote employee wellness?,YN
Do you feel that you are growing professionally?,YN
Do you feel that your job allows you to develop new skills?,YN
Do you feel like your job utilizes your skills as much as it could?,YN
Do you see a path to advance your career in our company?,YN
Does your direct manager value your opinions?,YN
Does your direct manager provide the support you need to complete your work?,YN
Do you enjoy the colleagues you work with?,YN
Do you think you’re given enough freedom to decide how to do your work?,YN
Do you know what is needed to meet your goals and objectives?,YN
Do you have the materials and equipment you need to do your job well?,YN
Do you find your workload reasonable?,YN
Do you think that work is distributed evenly across your team?,YN
Do you feel a sense of accomplishment from what you do?,YN
Do you find your work meaningful?,YN
Do you enjoy our company’s culture?,YN
Are you satisfied working for our company?,YN
Would you recommend our company to friends and family?,YN
Are you satisfied with the opportunities to grow your career at this company and is there a clear plan available for you to do so?,YN
Does your manager communicate expectations and feedback clearly and professionally?,YN
Do you have all the necessary tools you need to do your best work?,YN
If you encounter a problem or unusual situation do you know where to go for a solution?,YN
Does your team/department support and encourage your best work?,YN
What do you think about the company’s approach to work/life balance?,YN
Do you feel valued as an employee of this organization?,YN
Is the company’s mission statement clear and does it inspire you to contribute your best work?,YN
Do you feel the company fosters inclusion and protects employees from discrimination and harassment?,YN
Does this company take the time to celebrate your success?,YN
Do you feel connected to your coworkers?,YN
Do your managers value your feedback?,YN
Do you feel like your job utilizes your skills and abilities as much as it could?,YN
Do you feel as though your job responsibilities are clearly defined?,YN
Does our company give you the tools and technologies you need to do your job well?,YN
Does our company offer adequate opportunities for promotions and career development?,YN
Do you think that work is distributed evenly across your team?,YN
Does management seem invested in the success of the team,YN
Do your superiors communicate company news effectively and in a timely manner?,YN
Do you feel valued for your contributions?,YN
Are new hires exposed to them early on in their tenure?,YN
Do current employees even know about the values? Or where to find them?,YN
My benefits meet my (and my family’s) needs well,LIKERT
I have a good understanding of compensation policies and practices that affect me,LIKERT
I know who to talk to if I don’t understand my benefits,LIKERT
Our company provides a culture in which I can thrive,LIKERT
There is open and honest communication between managers and employees,LIKERT
Our organization uses available resources at its disposal to positively impact the community,LIKERT
I see professional growth and career development opportunities for myself in this organization,LIKERT
My manager helps me balance my work responsibilities with my personal life,LIKERT
I feel comfortable asking for time off for family emergencies or events,LIKERT
My job gives me flexibility to meet the needs of both my work and personal life,LIKERT
I personally agree with the organization’s values,LIKERT
We have a positive culture,LIKERT
I believe in the work that we do,LIKERT
I understand and support our organization’s mission and vision,LIKERT
I like the culture of this organization,LIKERT
Our culture supports the mission and vision of the organization,LIKERT
The leaders of the organization contribute to the positive culture of this organization,LIKERT
We have a culture of (recognition feedback transparency etc),LIKERT
The wellness benefits offered by my company have improved my physical and/or mental health,LIKERT
I would prefer my company provides (more/better) wellness programs,LIKERT
I am compensated fairly,LIKERT
I understand our benefits program,LIKERT
Our organization provides competitive compensation and benefits packages compared to others in our industry,LIKERT
My organization has expressed interest in my health and wellness,LIKERT
My manager encourages me to use our health and wellness programs,LIKERT
I would like to know more about the compensation and benefits packages available to me,LIKERT
I know what is expected of me and my work quality,LIKERT
I have the resources and training to thrive in my role,LIKERT
I have the opportunity to do what I do best every day,LIKERT
I frequently receive recognition praise and constructive criticism,LIKERT
I trust my manager and believe they have my best interests in mind,LIKERT
My voice is heard and valued,LIKERT
I clearly understand the mission and purpose and how I contribute to each,LIKERT
I have opportunities to learn and grow both personally and professionally,LIKERT
Is there a clear understanding of the strategic objectives of the organization?,YN
Is it clear to you what your role demands in meeting the company objectives?,YN
Do you believe that there is an opportunity for individual career growth and development within the company?,YN
Will you be working for the same organization in the next 2 years?,YN
Are you satisfied with your job overall?,YN
Do you relish being a member of your team?,YN
Is your team an inspiration for you to do your best at the job?,YN
Does your team provide you support at work whenever needed?,YN
Do you struggle to get information to make better decisions at work?,YN
If something unusual comes up do you know who to go for a solution?,YN
Does the organization inform you about all the resources and tools to perform your duties well?,YN
Do your seniors managers encourage you to give your best effort?,YN
Do you feel you are rewarded for your dedication and commitment towards the work?,YN
Do you feel that your opinions are heard and valued by your superior?,YN
Do you feel there is a scope for personal growth such as skill enhancement?,YN
Do you experience personal growth such as upgrading your skills and learning other tasks apart from your regular to-dos?,YN
Does the management involve you while taking leadership related decisions?,YN
Do you think you are valued by your manager?,YN
Do you think you go beyond your limits to fulfill a task?,YN
Do you think your job makes a positive difference in other’s life?,YN
Do you think you have had enough training to solve customer issues?,YN
Do you think the management respects your personal family time?,YN
Do you receive constructive feedback from your manager?,YN
Does your manager praise you when you have done a good job?,YN
Do you think the environment at work helps you strike the right balance between your work life and personal life?,YN
Does your job cause an unreasonable amount of stress for you?,YN
Do you think your manager understands a healthy balance between work life and personal life?,YN
Do you think your manager treats all the team members equally?,YN
Do you think the organization has fair policies for promotion for all employees?,YN
Do you feel that the management is just towards administering policies concerning employees?,YN
The Company clearly conveys its mission to its employees,LIKERT
Are conflict within the organisation managed properly,LIKERT
My supervisor takes time to listen to me,LIKERT
